"user_id","post_id","likes","views","saves"
"100000343655","1452","1","1","0"
"100000343671","2548","1","1","0"
"100000343671","1821","1","1","0"
"100000343663","1269","1","1","0"
"100000343697","1560","1","1","0"
"100000343663","1883","1","1","0"
"100000343572","1887","1","1","0"
"100000339059","2314","1","23","0"
"100000343655","1055","1","1","0"
"100000343564","1058","1","1","0"
"100000343598","718","1","1","0"
"100000343622","2072","1","1","0"
"100000343614","2367","1","1","0"
"100000339059","1623","1","3","0"
"100000343689","1261","1","1","0"
"100000343564","2329","1","1","0"
"100000340552","1702","1","2","0"
"100000343671","1008","1","1","0"
"100000343572","1633","1","1","0"
"100000343671","1042","1","1","0"
"100000343697","1447","1","1","0"
"100000343564","2419","1","1","0"
"100000342012","1434","1","19","0"
"100000346062","2704","1","3","0"
"100000343556","2467","1","1","0"
"100000343648","2509","1","1","0"
"100000343598","2167","1","1","0"
"100000339083","2164","1","1","0"
"100000343564","1946","1","1","0"
"100000343564","1328","1","1","0"
"100000339083","549","1","1","0"
"100000339059","894","1","26","0"
"100000343663","579","1","1","0"
"100000343598","2563","1","1","0"
"100000343648","1102","1","1","0"
"100000343572","625","1","1","0"
"100000343648","1631","1","1","0"
"100000343085","2433","1","52","0"
"100000343655","2385","1","1","0"
"100000343697","1011","1","1","0"
"100000343655","2163","1","1","0"
"100000343622","2278","1","1","0"
"100000343622","2322","1","1","0"
"100000343689","1935","1","1","0"
"100000343663","847","1","1","0"
"100000345593","2626","1","8","0"
"100000343655","718","1","1","0"
"100000343630","2468","1","1","0"
"100000338143","630","1","6","0"
"100000343598","1109","1","1","0"
"100000343580","1332","1","1","0"
"100000343630","2324","1","1","0"
"100000343705","549","1","1","0"
"100000343622","2592","1","1","0"
"100000341105","2405","1","3","0"
"100000343671","2299","1","1","0"
"100000343556","2173","1","1","0"
"100000343622","628","1","1","0"
"100000345593","2572","1","2","0"
"100000343705","2288","1","1","0"
"100000343564","722","1","1","0"
"100000343671","1727","1","1","0"
"100000343614","1835","1","1","0"
"100000343648","1001","1","1","0"
"100000342020","2941","1","2","0"
"100000343564","1751","1","1","0"
"100000343606","1056","1","1","0"
"100000343598","1922","1","1","0"
"100000343564","636","1","1","0"
"100000343663","2459","1","1","0"
"100000343622","2242","1","1","0"
"100000338382","783","1","13","0"
"100000343697","1565","1","1","0"
"100000343598","1339","1","1","0"
"100000343564","1049","1","1","0"
"100000345593","2649","1","11","0"
"100000339059","1838","1","54","0"
"100000343549","1096","1","1","0"
"100000343598","774","1","1","0"
"100000343549","2423","1","1","0"
"100000343705","1058","1","1","0"
"100000343630","585","1","1","0"
"100000343630","895","1","1","0"
"100000343572","2424","1","1","0"
"100000343564","2511","1","1","0"
"100000343689","2300","1","1","0"
"100000343614","2171","1","1","0"
"100000343572","1646","1","1","0"
"100000343622","1953","1","1","0"
"100000343648","888","1","1","0"
"100000342020","2447","1","0","0"
"100000343705","2252","1","1","0"
"100000343580","2378","1","1","0"
"100000343622","2257","1","1","0"
"100000343630","1652","1","1","0"
"100000343556","2355","1","1","0"
"100000343697","2318","1","1","0"
"100000343663","2138","1","1","0"
"100000339323","2702","1","19","0"
"100000343630","902","1","1","0"
"100000343622","2154","1","1","0"
"100000342038","1812","1","1","0"
"100000343580","2270","1","1","0"
"100000343663","2576","1","1","0"
"100000339901","1049","1","0","0"
"100000339083","705","1","1","0"
"100000343580","2301","1","1","0"
"100000343580","1050","1","1","0"
"100000343580","1756","1","1","0"
"100000343564","894","1","1","0"
"100000343689","900","1","1","0"
"100000343580","1330","1","1","0"
"100000343556","1011","1","1","0"
"100000343622","1672","1","1","0"
"100000341410","874","1","2","0"
"100000339711","1112","1","0","0"
"100000343689","2437","1","1","0"
"100000343663","1043","1","1","0"
"100000343630","2267","1","1","0"
"100000343630","2393","1","1","0"
"100000343697","1765","1","1","0"
"100000343705","2641","1","1","0"
"100000343556","2244","1","1","0"
"100000343697","2434","1","1","0"
"100000343549","1007","1","1","0"
"100000343556","2190","1","1","0"
"100000343549","2173","1","1","0"
